reactant1,reactant2,reactants,product,products,v,logv
NCCNCCN,O=C(OCC(CC)CCCC)/C=C\C(OCC(CCCC)CC)=O,NCCNCCN.O=C(OCC(CC)CCCC)/C=C\C(OCC(CCCC)CC)=O,CCCCC(CC)COC(=O)CC(NCCNCCNC(CC(=O)OCC(CC)CCCC)C(=O)OCC(CC)CCCC)C(=O)OCC(CC)CCCC,CCCCC(CC)COC(=O)CC(NCCNCCNC(CC(=O)OCC(CC)CCCC)C(=O)OCC(CC)CCCC)C(=O)OCC(CC)CCCC,365.0,2.5622928644564746
NCCNCCN,O=C(OCCCCCCCC)/C=C\C(OCCCCCCCC)=O,NCCNCCN.O=C(OCCCCCCCC)/C=C\C(OCCCCCCCC)=O,CCCCCCCCOC(=O)CC(NCCNCCNC(CC(=O)OCCCCCCCC)C(=O)OCCCCCCCC)C(=O)OCCCCCCCC,CCCCCCCCOC(=O)CC(NCCNCCNC(CC(=O)OCCCCCCCC)C(=O)OCCCCCCCC)C(=O)OCCCCCCCC,282.5,2.4510184521554574
NCCNCCN,O=C(OCCCCCC(C)C)/C=C\C(OCCCCCC(C)C)=O,NCCNCCN.O=C(OCCCCCC(C)C)/C=C\C(OCCCCCC(C)C)=O,CC(C)CCCCCOC(=O)CC(NCCNCCNC(CC(=O)OCCCCCC(C)C)C(=O)OCCCCCC(C)C)C(=O)OCCCCCC(C)C,CC(C)CCCCCOC(=O)CC(NCCNCCNC(CC(=O)OCCCCCC(C)C)C(=O)OCCCCCC(C)C)C(=O)OCCCCCC(C)C,302.0,2.4800069429571505
NCCNCCN,O=C(OCCCCCCCC/C=C\C/C=C\CCCCC)/C=C\C(OCC(CCCC)CC)=O,NCCNCCN.O=C(OCCCCCCCC/C=C\C/C=C\CCCCC)/C=C\C(OCC(CCCC)CC)=O,CCCCC/C=C\C/C=C\CCCCCCCCOC(=O)C(CC(=O)OCC(CC)CCCC)NCCNCCNC(CC(=O)OCC(CC)CCCC)C(=O)OCCCCCCCC/C=C\C/C=C\CCCCC,CCCCC/C=C\C/C=C\CCCCCCCCOC(=O)C(CC(=O)OCC(CC)CCCC)NCCNCCNC(CC(=O)OCC(CC)CCCC)C(=O)OCCCCCCCC/C=C\C/C=C\CCCCC.CCCCC/C=C\C/C=C\CCCCCCCCOC(=O)CC(NCCNCCNC(CC(=O)OCCCCCCCC/C=C\C/C=C\CCCCC)C(=O)OCC(CC)CCCC)C(=O)OCC(CC)CCCC.CCCCC/C=C\C/C=C\CCCCCCCCOC(=O)CC(NCCNCCNC(CC(=O)OCC(CC)CCCC)C(=O)OCCCCCCCC/C=C\C/C=C\CCCCC)C(=O)OCC(CC)CCCC,462.5,2.6651117370750512
NCCNCCN,O=C(OC(CC)CCCCCCCC)/C=C\C(OCC(CCCC)CC)=O,NCCNCCN.O=C(OC(CC)CCCCCCCC)/C=C\C(OCC(CCCC)CC)=O,CCCCCCCCC(CC)OC(=O)C(CC(=O)OCC(CC)CCCC)NCCNCCNC(CC(=O)OCC(CC)CCCC)C(=O)OC(CC)CCCCCCCC,CCCCCCCCC(CC)OC(=O)C(CC(=O)OCC(CC)CCCC)NCCNCCNC(CC(=O)OCC(CC)CCCC)C(=O)OC(CC)CCCCCCCC.CCCCCCCCC(CC)OC(=O)CC(NCCNCCNC(CC(=O)OCC(CC)CCCC)C(=O)OC(CC)CCCCCCCC)C(=O)OCC(CC)CCCC.CCCCCCCCC(CC)OC(=O)CC(NCCNCCNC(CC(=O)OC(CC)CCCCCCCC)C(=O)OCC(CC)CCCC)C(=O)OCC(CC)CCCC,417.5,2.620656479819621
NCCNCCN,O=C(OC(CCCCCCCC)CCCCCCCC)/C=C\C(OCC(CCCC)CC)=O,NCCNCCN.O=C(OC(CCCCCCCC)CCCCCCCC)/C=C\C(OCC(CCCC)CC)=O,CCCCCCCCC(CCCCCCCC)OC(=O)C(CC(=O)OCC(CC)CCCC)NCCNCCNC(CC(=O)OCC(CC)CCCC)C(=O)OC(CCCCCCCC)CCCCCCCC,CCCCCCCCC(CCCCCCCC)OC(=O)C(CC(=O)OCC(CC)CCCC)NCCNCCNC(CC(=O)OCC(CC)CCCC)C(=O)OC(CCCCCCCC)CCCCCCCC.CCCCCCCCC(CCCCCCCC)OC(=O)CC(NCCNCCNC(CC(=O)OCC(CC)CCCC)C(=O)OC(CCCCCCCC)CCCCCCCC)C(=O)OCC(CC)CCCC.CCCCCCCCC(CCCCCCCC)OC(=O)CC(NCCNCCNC(CC(=O)OC(CCCCCCCC)CCCCCCCC)C(=O)OCC(CC)CCCC)C(=O)OCC(CC)CCCC,174.0,2.2405492482826
NCCNCCN,O=C(OC(C)CCCCCCCCCC)/C=C\C(OCC(CCCC)CC)=O,NCCNCCN.O=C(OC(C)CCCCCCCCCC)/C=C\C(OCC(CCCC)CC)=O,CCCCCCCCCCC(C)OC(=O)CC(NCCNCCNC(CC(=O)OC(C)CCCCCCCCCC)C(=O)OCC(CC)CCCC)C(=O)OCC(CC)CCCC,CCCCCCCCCCC(C)OC(=O)CC(NCCNCCNC(CC(=O)OC(C)CCCCCCCCCC)C(=O)OCC(CC)CCCC)C(=O)OCC(CC)CCCC.CCCCCCCCCCC(C)OC(=O)C(CC(=O)OCC(CC)CCCC)NCCNCCNC(CC(=O)OCC(CC)CCCC)C(=O)OC(C)CCCCCCCCCC.CCCCCCCCCCC(C)OC(=O)CC(NCCNCCNC(CC(=O)OCC(CC)CCCC)C(=O)OC(C)CCCCCCCCCC)C(=O)OCC(CC)CCCC,395.0,2.59659709562646
NCCNCCN,O=C(OC(CCCCCCCCCC)CCCCCCCCCC)/C=C\C(OCC(CCCC)CC)=O,NCCNCCN.O=C(OC(CCCCCCCCCC)CCCCCCCCCC)/C=C\C(OCC(CCCC)CC)=O,CCCCCCCCCCC(CCCCCCCCCC)OC(=O)CC(NCCNCCNC(CC(=O)OC(CCCCCCCCCC)CCCCCCCCCC)C(=O)OCC(CC)CCCC)C(=O)OCC(CC)CCCC,CCCCCCCCCCC(CCCCCCCCCC)OC(=O)CC(NCCNCCNC(CC(=O)OC(CCCCCCCCCC)CCCCCCCCCC)C(=O)OCC(CC)CCCC)C(=O)OCC(CC)CCCC.CCCCCCCCCCC(CCCCCCCCCC)OC(=O)CC(NCCNCCNC(CC(=O)OCC(CC)CCCC)C(=O)OC(CCCCCCCCCC)CCCCCCCCCC)C(=O)OCC(CC)CCCC.CCCCCCCCCCC(CCCCCCCCCC)OC(=O)C(CC(=O)OCC(CC)CCCC)NCCNCCNC(CC(=O)OCC(CC)CCCC)C(=O)OC(CCCCCCCCCC)CCCCCCCCCC,284.5,2.45408227073109
NCCNCCN,O=C(OCC(CCCCCCCC)CCCCCCCCCC)/C=C\C(OCC(CCCC)CC)=O,NCCNCCN.O=C(OCC(CCCCCCCC)CCCCCCCCCC)/C=C\C(OCC(CCCC)CC)=O,CCCCCCCCCCC(CCCCCCCC)COC(=O)CC(NCCNCCNC(CC(=O)OCC(CC)CCCC)C(=O)OCC(CCCCCCCC)CCCCCCCCCC)C(=O)OCC(CC)CCCC,CCCCCCCCCCC(CCCCCCCC)COC(=O)CC(NCCNCCNC(CC(=O)OCC(CC)CCCC)C(=O)OCC(CCCCCCCC)CCCCCCCCCC)C(=O)OCC(CC)CCCC.CCCCCCCCCCC(CCCCCCCC)COC(=O)CC(NCCNCCNC(CC(=O)OCC(CCCCCCCC)CCCCCCCCCC)C(=O)OCC(CC)CCCC)C(=O)OCC(CC)CCCC.CCCCCCCCCCC(CCCCCCCC)COC(=O)C(CC(=O)OCC(CC)CCCC)NCCNCCNC(CC(=O)OCC(CC)CCCC)C(=O)OCC(CCCCCCCC)CCCCCCCCCC,445.5,2.6488477083728936
NCCCN(CCCN)CCCN,O=C(OCCCC)/C=C\C(OCCCC)=O,NCCCN(CCCN)CCCN.O=C(OCCCC)/C=C\C(OCCCC)=O,CCCCOC(=O)CC(NCCCN(CCCNC(CC(=O)OCCCC)C(=O)OCCCC)CCCNC(CC(=O)OCCCC)C(=O)OCCCC)C(=O)OCCCC,CCCCOC(=O)CC(NCCCN(CCCNC(CC(=O)OCCCC)C(=O)OCCCC)CCCNC(CC(=O)OCCCC)C(=O)OCCCC)C(=O)OCCCC,192.0,2.2833012287035497
